win,time,score,algorithm
0,1.8800787,1,5
0,0.8321244,0,5
0,3.1832328,1,5
0,2.3515293,1,5
0,1.0922689,1,5
0,4.9970849,1,5
0,0.3721319,0,5
0,0.122515,1,5
0,2.6488721,1,5
0,1.3962072,0,5
0,3.4657314,1,5
0,1.7283081,1,5
0,2.5333631,1,5
0,2.1209975,1,5
0,0.7980114,0,5
0,4.378929,1,5
0,0.671466,0,5
0,1.0358468,1,5
0,2.1816267,1,5
0,2.5647839,1,5
1,5.323157,2,5
0,1.1111986,1,5
0,3.220605,1,5
1,4.5121694,2,5
0,2.9629039,1,5
0,1.7908883,0,5
0,1.4338927,1,5
0,1.5632696,0,5
1,7.242251,2,5
